"","NATURE","NOM_1_G","Longueur","longueurSecteur","creche","comparaison"
"3","Route à 1 chaussée","ALL DES ERABLES",234,234,"Maison de la petite enfance","dans le secteur"
"5","Route à 1 chaussée","R ODETTE PAIN",215,215,"Maison de la petite enfance","dans le secteur"
"10","Route à 1 chaussée","AV PASTEUR",635,8,"Maison de la petite enfance","à vérifier"
"22","Route à 1 chaussée","ALL DE LA DEVINIERE",63,63,"Maison de la petite enfance","dans le secteur"
"23","Route à 1 chaussée","PL SCHOELCHER",86,86,"Maison de la petite enfance","dans le secteur"
"24","Sentier","ALL DES ROSES",75,75,"Maison de la petite enfance","dans le secteur"
"25","Sentier","MAIL MARIE-MADELEINE FOURCADE",84,84,"Maison de la petite enfance","dans le secteur"
"33","Route à 1 chaussée","PL EUDEMON",26,26,"Maison de la petite enfance","dans le secteur"
"47","Route à 1 chaussée","R TRINQUAMELLE",192,192,"Maison de la petite enfance","dans le secteur"
"59","Route à 1 chaussée","ALL MOZART",98,98,"Maison de la petite enfance","dans le secteur"
"62","Route à 1 chaussée","AV DE LA VILLAGEOISE",303,425,"Maison de la petite enfance","à vérifier"
"66","Route à 1 chaussée","R GERMAINE TILLION",140,140,"Maison de la petite enfance","dans le secteur"
"67","Route à 1 chaussée","ALL DES FRENES",103,103,"Maison de la petite enfance","dans le secteur"
"69","Route à 1 chaussée","R DU BON AIR",152,152,"Maison de la petite enfance","dans le secteur"
"70","Route à 1 chaussée","CHE LATERAL",565,579,"Maison de la petite enfance","à vérifier"
"71","Route à 1 chaussée","R GARGANTUA",102,102,"Maison de la petite enfance","dans le secteur"
"72","Route à 2 chaussées","AV GALLIENI",3341,916,"Maison de la petite enfance","à vérifier"
"73","Route à 1 chaussée","R NADIA MURAD",190,190,"Maison de la petite enfance","dans le secteur"
"78","Route à 1 chaussée","R LUCIEN CHAPELAIN",649,642,"Maison de la petite enfance","à vérifier"
"79","Sentier","R DES ECOLES",188,181,"Maison de la petite enfance","à vérifier"
