"","NATURE","NOM","NOM_1_G","usage","nom"
"3","ALL","ERABLES","ALL DES ERABLES","privé","Murat"
"5","R","ODETTE PAIN","R ODETTE PAIN",NA,"Murat"
"22","ALL","DEVINIERE","ALL DE LA DEVINIERE","privé","Murat"
"23","PL","SCHOELCHER","PL SCHOELCHER",NA,"Murat"
"24","ALL","ROSES","ALL DES ROSES","privé","Murat"
"25","MAIL","MARIE-MADELEINE FOURCADE","MAIL MARIE-MADELEINE FOURCADE",NA,"Murat"
"32","PL","EUDEMON","PL EUDEMON",NA,"Murat"
"46","R","TRINQUAMELLE","R TRINQUAMELLE","privé","Murat"
"57","ALL","MOZART","ALL MOZART",NA,"Murat"
"60","AV","VILLAGEOISE","AV DE LA VILLAGEOISE",NA,"Murat"
"64","R","GERMAINE TILLION","R GERMAINE TILLION",NA,"Murat"
"65","ALL","FRENES","ALL DES FRENES","privé","Murat"
"67","R","BON AIR","R DU BON AIR",NA,"Murat"
"68","CH","LATERAL","CH LATERAL",NA,"Murat"
"69","R","GARGANTUA","R GARGANTUA",NA,"Murat"
"70","AV","GALLIENI","AV GALLIENI",NA,"Murat"
"75","R","LUCIEN CHAPELAIN","R LUCIEN CHAPELAIN",NA,"Murat"
"76","R","ECOLES","R DES ECOLES",NA,"Murat"
"77","AV","MARGUERITE","AV MARGUERITE",NA,"Murat"
"79","R","EMILE ZOLA","R EMILE ZOLA",NA,"Murat"
"80","AV","MESARMES","AV DES MESARMES",NA,"Murat"
"95","R","TERRE SAINT-BLAISE","R DE LA TERRE SAINT-BLAISE",NA,"Murat"
"100","R","FRANCS AUBIERS","R DES FRANCS AUBIERS","public","Murat"
"102","ALL","BOULEAUX","ALL DES BOULEAUX","privé","Murat"
"103","RTE","STAINS","RTE DE STAINS",NA,"Murat"
"120","ALL","GLAIEULS","ALL DES GLAIEULS","privé","Murat"
"121","IMP","PARISIENNE","IMP DE LA PARISIENNE","privé","Murat"
"125","R","FLORALIES","R DES FLORALIES","privé","Murat"
"127","R","JEAN-MARIE TJIBAOU","R JEAN-MARIE TJIBAOU",NA,"Murat"
"129","ALL","HORTENSIAS","ALL DES HORTENSIAS","privé","Murat"
"136","ALL","PABLO NERUDA","ALL PABLO NERUDA",NA,"Murat"
"141","ALL","AZALEES","ALL DES AZALEES","privé","Murat"
"149","PAS","DEUX VILLES","PAS DES DEUX VILLES","piéton","Murat"
"152","R","MEAUX","R DE MEAUX",NA,"Murat"
"153","R","FER A CHEVAL","R DU FER A CHEVAL","privé","Murat"
"155","R","EUGENE VARLIN","R EUGENE VARLIN",NA,"Murat"
"159","ALL","TULIPES","ALL DES TULIPES","privé","Murat"
"160","R","HENRI MOULY","R HENRI MOULY","privé","Murat"
"161","ALL","ESPERANTO","ALL ESPERANTO",NA,"Murat"
"164","ALL","LAURIERS","ALL DES LAURIERS","privé","Murat"
"168","R","RABELAIS","R RABELAIS","privé","Murat"
"176","MAIL","PANTAGRUEL","MAIL PANTAGRUEL",NA,"Murat"
"179","R","VERGER","R DU VERGER",NA,"Murat"
"180","ALL","ANNE SYLVESTRE","ALL ANNE SYLVESTRE","public","Murat"
"183","R","VERSAILLES","R DE VERSAILLES",NA,"Murat"
"190","ALL","SAN MARTIN","ALL SAN MARTIN",NA,"Murat"
"198","AV","GUEUGNON","AV GUEUGNON",NA,"Murat"
"201","R","PAUL RENAUD","R PAUL RENAUD",NA,"Murat"
"202","ALL","BOSQUETS","ALL DES BOSQUETS",NA,"Murat"
"203","R","FRANCOIS MARTIN","R FRANCOIS MARTIN","privé","Murat"
"208","ALL","JOSE MARTI","ALL JOSE MARTI",NA,"Murat"
"210","ALL","SYCOMORES","ALL DES SYCOMORES","privé","Murat"
"218","ALL","VIGNES","ALL DES VIGNES",NA,"Murat"
"226","R","JULES LECOMTE","R JULES LECOMTE",NA,"Murat"
"229","R","ARTHUR GROUSSIER","R ARTHUR GROUSSIER",NA,"Murat"
"230","R","ESCHOLIERS","R DES ESCHOLIERS",NA,"Murat"
"231","AV","VILLEGIATURE","AV DE LA VILLEGIATURE",NA,"Murat"
"232","R","BOREL","R BOREL",NA,"Murat"
"237","R","ERIC TABARLY","R ERIC TABARLY",NA,"Murat"
"238","R","HENRI ROL TANGUY","R HENRI ROL TANGUY","privé","Murat"
"244","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"247","AV","CLARA GRANDET","AV CLARA GRANDET",NA,"Murat"
"249","ALL","SIMON BOLIVAR","ALL SIMON BOLIVAR",NA,"Murat"
"252","ALL","DAHLIAS","ALL DES DAHLIAS","privé","Murat"
"255","AV","PARISIENNE","AV DE LA PARISIENNE",NA,"Murat"
"258","CH","PONT","CH DU PONT",NA,"Murat"
"259","RPT","VERGER","RPT DU VERGER",NA,"Murat"
"265","AV","LEON BLUM","AV LEON BLUM",NA,"Murat"
"272","R","LAUG","R LAUG",NA,"Murat"
"273","AV","JEAN LEBAS","AV JEAN LEBAS",NA,"Murat"
"275","ALL","SORBIERS","ALL DES SORBIERS","privé","Murat"
"285","ALL","FOUGERES","ALL DES FOUGERES","privé","Murat"
"292","ALL","JARDINIERE","ALL DE LA JARDINIERE",NA,"Murat"
"293","R","PANURGE","R DE PANURGE",NA,"Murat"
"314","R","FONTAINE","R FONTAINE",NA,"Murat"
