"","NOM_1_G","usage","IMPORTANCE","couleur","nom","couleur.1"
"82","R NADIA MURAD",NA,"5","orange","zone orange","orange"
"83","R ROGER SALENGRO",NA,"4","orange","zone orange","orange"
"84","CH LATERAL",NA,"4","orange","zone orange","orange"
"85","AV GALLIENI","sauf l'autopont","2","orange","zone orange","orange"
"86","AV CARNOT",NA,"4","orange","zone orange","orange"
"87","ALL GEORGES SAND",NA,"5","orange","zone orange","orange"
"88","R GATINE",NA,"5","orange","zone orange","orange"
"89","PL DE LA REPUBLIQUE",NA,"4","orange","zone orange","orange"
"90","R ARTHUR RIMBAUD",NA,"5","orange","zone orange","orange"
"91","AV DE LA REPUBLIQUE",NA,"5","orange","zone orange","orange"
"92","R DES FRERES DARTY",NA,"5","orange","zone orange","orange"
"93","R DU CHAMPART",NA,"6","orange","zone orange","orange"
"94","R AUGUSTE POLISSARD",NA,"3","orange","zone orange","orange"
"95","R SIMONE VEIL",NA,"6","orange","zone orange","orange"
"96","R GISELE HALIMI",NA,"6","orange","zone orange","orange"
"97","R ARETHA FRANKLIN",NA,"6","orange","zone orange","orange"
"98","AV HENRI BARBUSSE","Carnot Alpy","3","orange","zone orange","orange"
"99","R LOUIS AUGUSTE BLANQUI","Salengro Carnot","4","orange","zone orange","orange"
"100","R BENOITE GROULT",NA,"5","orange","zone orange","orange"
"101","R JULES GUESDE",NA,"3","orange","zone orange","orange"
"102","ESPL CLAUDE FUZIER","parking","6","orange","zone orange","orange"
"103","CRS DE LA REPUBLIQUE",NA,"5","orange","zone orange","orange"
"104","PL DE LA GARE","parking","0","orange","zone orange","orange"
"3","R DU MIDI",NA,"5","vert","Mare à la veuve","vert"
"4","ALL DE L'ETOILE",NA,"4","vert","Mare à la veuve","vert"
"12","ALL DES TILLEULS",NA,"5","vert","Mare à la veuve","vert"
"14","R JEAN MONNET",NA,"6","vert","Mare à la veuve","vert"
"20","AV DE BELFORT",NA,"4","vert","Mare à la veuve","vert"
"23","AV DE L'EST",NA,"5","vert","Mare à la veuve","vert"
"27","AV DE METZ",NA,"5","vert","Mare à la veuve","vert"
"33","ALL SURCOUF","?","5","vert","Mare à la veuve","vert"
"39","R PAULINE ROGER",NA,"5","vert","Mare à la veuve","vert"
"41","R DAVID LEDER",NA,"5","vert","Mare à la veuve","vert"
"44","RPE DU PONT",NA,"4","vert","Mare à la veuve","vert"
"46","AV DE NANCY",NA,"5","vert","Mare à la veuve","vert"
"51","IMP JACQUES BREL",NA,"5","vert","Mare à la veuve","vert"
"53","R JOE CARMAN",NA,"5","vert","Mare à la veuve","vert"
"56","R MARCEL PAUL",NA,"5","vert","Mare à la veuve","vert"
