"","NATURE","NOM_1_G","creche"
"1","Route à 1 chaussée","ALL DES ERABLES","Maison de la petite enfance"
"2","Route à 1 chaussée","R ODETTE PAIN","Maison de la petite enfance"
"4","Route à 1 chaussée","ALL DE LA DEVINIERE","Maison de la petite enfance"
"5","Route à 1 chaussée","PL SCHOELCHER","Maison de la petite enfance"
"6","Sentier","ALL DES ROSES","Maison de la petite enfance"
"7","Sentier","MAIL MARIE-MADELEINE FOURCADE","Maison de la petite enfance"
"8","Route à 1 chaussée","PL EUDEMON","Maison de la petite enfance"
"9","Route à 1 chaussée","R TRINQUAMELLE","Maison de la petite enfance"
"10","Route à 1 chaussée","ALL MOZART","Maison de la petite enfance"
"11","Route à 1 chaussée","AV DE LA VILLAGEOISE","Maison de la petite enfance"
"12","Route à 1 chaussée","R GERMAINE TILLION","Maison de la petite enfance"
"13","Route à 1 chaussée","ALL DES FRENES","Maison de la petite enfance"
"14","Route à 1 chaussée","R DU BON AIR","Maison de la petite enfance"
"15","Route à 1 chaussée","CHE LATERAL","Maison de la petite enfance"
"16","Route à 1 chaussée","R GARGANTUA","Maison de la petite enfance"
"17","Route à 2 chaussées","AV GALLIENI IMPAIRS","Maison de la petite enfance"
"18","Route à 1 chaussée","R NADIA MURAD","Maison de la petite enfance"
"19","Route à 1 chaussée","R LUCIEN CHAPELAIN","Maison de la petite enfance"
"20","Sentier","R DES ECOLES","Maison de la petite enfance"
"21","Route à 1 chaussée","AV MARGUERITE","Maison de la petite enfance"
"22","Route à 1 chaussée","R EMILE ZOLA","Maison de la petite enfance"
"23","Route à 1 chaussée","AV DES MESARMES","Maison de la petite enfance"
"24","Route à 1 chaussée","R DE LA TERRE SAINT-BLAISE","Maison de la petite enfance"
"25","Route à 2 chaussées","R DES FRANCS AUBIERS","Maison de la petite enfance"
"26","Route à 1 chaussée","ALL DES BOULEAUX","Maison de la petite enfance"
"27","Route à 2 chaussées","RTE DE STAINS","Maison de la petite enfance"
"28","Sentier","ALL DES GLAIEULS","Maison de la petite enfance"
"29","Chemin","IMP DE LA PARISIENNE","Maison de la petite enfance"
"30","Route à 1 chaussée","R DES FLORALIES","Maison de la petite enfance"
"31","Route à 1 chaussée","R JEAN-MARIE TJIBAOU","Maison de la petite enfance"
"32","Sentier","ALL DES HORTENSIAS","Maison de la petite enfance"
"33","Route à 1 chaussée","ALL PABLO NERUDA","Maison de la petite enfance"
"34","Route à 1 chaussée","ALL DES AZALEES","Maison de la petite enfance"
"35","Route à 1 chaussée","PAS DES DEUX VILLES","Maison de la petite enfance"
"36","Route à 1 chaussée","R DE MEAUX","Maison de la petite enfance"
"37","Route à 1 chaussée","R DU FER A CHEVAL","Maison de la petite enfance"
"38","Route à 1 chaussée","R EUGENE VARLIN","Maison de la petite enfance"
"39","Route à 1 chaussée","ALL DES TULIPES","Maison de la petite enfance"
"40","Route à 1 chaussée","R HENRI MOULY","Maison de la petite enfance"
"41","Route à 1 chaussée","ALL ESPERANTO","Maison de la petite enfance"
"42","Route à 1 chaussée","ALL DES LAURIERS","Maison de la petite enfance"
"43","Route à 1 chaussée","R RABELAIS","Maison de la petite enfance"
"44","Route à 1 chaussée","MAIL PANTAGRUEL","Maison de la petite enfance"
"45","Route à 1 chaussée","R DU VERGER","Maison de la petite enfance"
"46","Route à 1 chaussée","ALL ANNE SYLVESTRE","Maison de la petite enfance"
"47","Route à 1 chaussée","R DE VERSAILLES","Maison de la petite enfance"
"48","Route à 1 chaussée","ALL SAN MARTIN","Maison de la petite enfance"
"49","Route à 1 chaussée","AV GUEUGNON","Maison de la petite enfance"
"50","Route à 1 chaussée","R PAUL RENAUD","Maison de la petite enfance"
"51","Route à 1 chaussée","ALL DES BOSQUETS","Maison de la petite enfance"
"52","Route à 1 chaussée","R FRANCOIS MARTIN","Maison de la petite enfance"
"53","Route à 1 chaussée","ALL JOSE MARTI","Maison de la petite enfance"
"54","Route à 1 chaussée","ALL DES SYCOMORES","Maison de la petite enfance"
"55","Route à 1 chaussée","IMP DE LA JARDINIERE","Maison de la petite enfance"
"56","Route à 1 chaussée","ALL DES VIGNES","Maison de la petite enfance"
"57","Route à 1 chaussée","R JULES LECOMTE","Maison de la petite enfance"
"58","Route à 1 chaussée","R ARTHUR GROUSSIER","Maison de la petite enfance"
"59","Route à 1 chaussée","R DES ESCHOLIERS","Maison de la petite enfance"
"60","Route à 1 chaussée","AV DE LA VILLEGIATURE","Maison de la petite enfance"
"61","Route à 1 chaussée","R BOREL","Maison de la petite enfance"
"62","Sentier","R ERIC TABARLY","Maison de la petite enfance"
"63","Route à 1 chaussée","R HENRI ROL TANGUY","Maison de la petite enfance"
"64","Route à 1 chaussée","R LUCIE AUBRAC","Maison de la petite enfance"
"65","Route à 1 chaussée","AV CLARA GRANDET","Maison de la petite enfance"
"66","Route à 1 chaussée","ALL SIMON BOLIVAR","Maison de la petite enfance"
"67","Route à 1 chaussée","ALL DES DAHLIAS","Maison de la petite enfance"
"68","Route à 1 chaussée","AV DE LA PARISIENNE","Maison de la petite enfance"
"69","Route à 2 chaussées","CHE DU PONT","Maison de la petite enfance"
"70","Rond-point","RPT DU VERGER","Maison de la petite enfance"
"71","Route à 1 chaussée","AV LEON BLUM","Maison de la petite enfance"
"72","Route à 1 chaussée","R LAUG","Maison de la petite enfance"
"73","Route à 1 chaussée","AV JEAN LEBAS","Maison de la petite enfance"
"74","Route à 1 chaussée","ALL DES SORBIERS","Maison de la petite enfance"
"75","Route à 1 chaussée","ALL DES FOUGERES","Maison de la petite enfance"
"76","Route à 1 chaussée","ALL DE LA JARDINIERE","Maison de la petite enfance"
"77","Route à 1 chaussée","R DE PANURGE","Maison de la petite enfance"
"78","Route à 1 chaussée","AV MAURICE BENHAMOU","Maison de la petite enfance"
"80","Route à 1 chaussée","R FONTAINE","Maison de la petite enfance"
"81","Route à 1 chaussée","R PIERRE DE RONSARD","Maison de la petite enfance"
"82","Route à 1 chaussée","R DU 4 SEPTEMBRE","Maison de la petite enfance"
"83","Sentier","ALL DES GLYCINES","Maison de la petite enfance"
"84","Route à 2 chaussées","AV LEON JOUHAUX","Maison de la petite enfance"
"85","Route à 1 chaussée","R ANDREI SAKHAROV","Maison de la petite enfance"
"86","Sentier",NA,"Maison de la petite enfance"
"87","Chemin","R SUZANNE BLIN","Maison de la petite enfance"
"88","Sentier",NA,"Maison de la petite enfance"
"89","Sentier",NA,"Maison de la petite enfance"
"90","Sentier",NA,"Maison de la petite enfance"
"91","Sentier",NA,"Maison de la petite enfance"
"92","Chemin","R SIMONE VEIL","Maison de la petite enfance"
"93","Chemin","R GISELE HALIMI","Maison de la petite enfance"
"94","Chemin","QUAI HUBERTINE AUCLERT","Maison de la petite enfance"
"95","Sentier","17","Maison de la petite enfance"
"96","Route à 2 chaussées","AV MARX DORMOY","Maison de la petite enfance"
"97","Chemin","IMP DE LA JARDINIERE","Maison de la petite enfance"
"98","Route à 1 chaussée",NA,"Maison de la petite enfance"
"99","Route à 1 chaussée","R. ARETHA FRANKLIN","Maison de la petite enfance"
"100","Route à 1 chaussée","R FRANCOISE HERITIER","Maison de la petite enfance"
"101","Sentier",NA,"Maison de la petite enfance"
"102","Route à 2 chaussées","AV SUZANNE BUISSON","Maison de la petite enfance"
"103","Route à 1 chaussée","AV JEAN MOULIN","Maison de la petite enfance"
"104","Route à 1 chaussée","R JEAN PIERRE LEVY","Maison de la petite enfance"
"105","Route à 1 chaussée","PAS DU VERCORS","Maison de la petite enfance"
"106","Chemin","","Maison de la petite enfance"
"107","Route à 2 chaussées","D78","Maison de la petite enfance"
"108","Rond-point","RPT JOUHAUX","Maison de la petite enfance"
"109","Route à 1 chaussée","R ROGER PANNEQUIN","Maison de la petite enfance"
"110","Route à 1 chaussée","RTE D'AULNAY","Maison de la petite enfance"
"111","Route à 1 chaussée","AV HENRI VARAGNAT","Maison de la petite enfance"
"112","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU","Maison de la petite enfance"
"113","Route à 1 chaussée","CHE DE GROSLAY","Maison de la petite enfance"
"114","Route à 1 chaussée","R FRANCOIS VILLON","Maison de la petite enfance"
"115",NA,"AV DU QUATORZE JUILLET","Maison de la petite enfance"
"116","Chemin","ALL POTTIER","Crèche Arc en Ciel"
"117","Route à 1 chaussée","ALL ANNE FRANK","Crèche Arc en Ciel"
"118","Route à 1 chaussée","R GASTON DEFFERRE","Crèche Arc en Ciel"
"119","Route à 1 chaussée","ALL DES RENONCULES","Crèche Arc en Ciel"
