"Dossier";"Numéro - Type de dossier";"Code insee de la commune principale";"Année de dépôt";"Date de dépôt";"Dossier issu de la SVE ?"
"DP 93010 22 00180";"DP";"93010";"2022";"06/12/2022";"0"
"DP 93010 21 B0214";"DP";"93010";"2021";"27/12/2021";"0"
"CU 93010 23 B0344";"CU";"93010";"2023";"18/08/2023";"1"
"CU 93010 22 B0449";"CU";"93010";"2022";"26/09/2022";"0"
"DP 93010 22 B0004";"DP";"93010";"2022";"14/01/2022";"0"
"CU 93010 23 B0079";"CU";"93010";"2023";"03/03/2023";"0"
"DP 93010 21 B0209";"DP";"93010";"2021";"14/12/2021";"0"
"CU 99999 21 00001";"CU";"99999";"2021";"08/12/2021";"1"
"CU 99999 21 00002";"CU";"99999";"2021";"08/12/2021";"1"
"PC 99999 21 00001";"PC";"99999";"2021";"17/12/2021";"1"
"PC 99999 21 00001 M01";"PC";"99999";"2021";"17/12/2021";"1"
"DP 99999 22 00001";"DP";"99999";"2022";"24/01/2022";"1"
"DP 93010 22 B0006";"DP";"93010";"2022";"12/01/2022";"0"
"CU 93010 23 B0080";"CU";"93010";"2023";"06/03/2023";"0"
"CU 93010 26 B0045";"CU";"93010";"2026";"10/02/2026";"1"
"DP 93010 22 B0036";"DP";"93010";"2022";"16/03/2022";"0"
"CU 93010 21 B0663";"CU";"93010";"2021";"31/12/2021";"0"
"CU 93010 22 B0015";"CU";"93010";"2022";"08/02/2022";"0"
"CU 93010 22 B0024";"CU";"93010";"2022";"08/02/2022";"0"
"DP 93010 22 B0012";"DP";"93010";"2022";"01/02/2022";"0"
"CU 93010 22 B0268";"CU";"93010";"2022";"18/05/2022";"0"
"CU 93010 22 B0453";"CU";"93010";"2022";"03/10/2022";"0"
"CU 93010 22 B0019";"CU";"93010";"2022";"11/02/2022";"1"
"DP 93010 22 B0055";"DP";"93010";"2022";"14/04/2022";"1"
"DP 99999 22 00003";"DP";"99999";"2022";"24/01/2022";"0"
"DP 93010 21 00217";"DP";"93010";"2021";"29/12/2021";"1"
"DP 93010 21 00212";"DP";"93010";"2021";"22/12/2021";"0"
"PC 93010 21 B0077";"PC";"93010";"2021";"26/10/2021";"0"
"DP 93010 21 B0217";"DP";"93010";"2021";"27/12/2021";"0"
"CU 93010 22 B0021";"CU";"93010";"2022";"25/01/2022";"0"
"PC 93010 21 B0102";"PC";"93010";"2021";"24/12/2021";"0"
"AT 93010 22 B0004";"AT";"93010";"2021";"24/12/2021";"0"
"AT 93010 22 B0003";"AT";"93010";"2022";"10/01/2022";"0"
"DP 93010 22 B0009";"DP";"93010";"2022";"21/01/2022";"0"
"PC 93010 22 B0003";"PC";"93010";"2022";"19/01/2022";"0"
"CU 93010 22 B0122";"CU";"93010";"2022";"16/02/2022";"0"
"CU 93010 26 B0043";"CU";"93010";"2026";"05/02/2026";"0"
"AT 93010 22 B0002";"AT";"93010";"2022";"07/01/2022";"0"
"CU 93010 23 B0276";"CU";"93010";"2023";"30/06/2023";"1"
"DP 93010 21 B0191";"DP";"93010";"2021";"26/10/2021";"0"
"CU 93010 22 B0053";"CU";"93010";"2022";"31/01/2022";"0"
"CU 93010 22 B0150";"CU";"93010";"2022";"11/04/2022";"0"
"PC 99999 22 00001";"PC";"99999";"2022";"14/03/2022";"0"
"CU 93010 22 B0168";"CU";"93010";"2022";"01/04/2022";"0"
"CU 93010 22 B0007";"CU";"93010";"2022";"07/01/2022";"0"
"AT 93010 22 B0006";"AT";"93010";"2022";"26/01/2022";"0"
