"","pas de surface","surface"
"ACTIVITE",6,126
"APPARTEMENT INDETERMINE",0,33
"BATI - INDETERMINE : Vefa sans descriptif",679,0
"BATI - INDETERMINE : Vente avec volume(s)",24,0
"BATI MIXTE - LOGEMENT/ACTIVITE",0,54
"BATI MIXTE - LOGEMENTS",0,13
"DES DEPENDANCES",48,0
"DES MAISONS",0,48
"DEUX APPARTEMENTS",0,66
"TERRAIN ARTIFICIALISE MIXTE",41,0
"TERRAIN D'AGREMENT",4,0
"TERRAIN DE TYPE TAB",61,0
"TERRAIN DE TYPE TERRE ET PRE",1,0
"TERRAIN NON BATIS INDETERMINE",1,0
"UN APPARTEMENT",0,2786
"UNE DEPENDANCE",223,0
"UNE MAISON",0,1811
