"Var1","Freq","remplacement ID"
"000",1,0
"A",112,
"AA",37,
"AB",110,
"AC",210,
"AD",135,
"AE",344,
"AF",132,
"AG",236,
"AH",147,
"AI",105,
"B",132,
"C",285,
"D",297,
"E",145,
"F",132,
"G",94,
"H",107,
"I",211,
"J",170,
"Jardin",1,
"K",97,
"l 100",1,"L 100"
"L",92,
"L.68",1,"L 68"
"L91",1,"L 91"
"M",180,
"N",106,
"O",118,
"Ossuaire",1,
"P",193,
"P91",1,"P 91"
"P94",1,"P 94"
"P95",1,"P 95"
"Q",252,
"Q201",1,"Q 201"
"Q206",1,"Q 206"
"Q213",1,"Q 213"
"Q217",1,"Q 217"
"Q218",1,"Q 218"
"Q221",1,"Q 221"
"Q228",1,"Q 228"
"Q231",1,"Q 231"
"Q232",1,"Q 232"
"Q233",1,"Q 233"
"Q235",1,"Q 235"
"Q238",1,"Q 238"
"Q240",1,"Q 240"
"Q241",1,"Q 241"
"Q242",1,"Q 242"
"Q244",1,"Q 244"
"Q245",1,"Q 245"
"Q246",1,"Q 246"
"Q247",1,"Q 247"
"Q249",1,"Q 249"
"Q252",1,"Q 252"
"Q256",1,"Q 256"
"Q259",1,"Q 259"
"R",162,
"S",96,
"T",221,
"T23",1,"T 23"
"T25",1,"T 25"
"T26",1,"T 26"
"U",51,
"V",50,
"S11",1,"S 11"
"S24bis",1,"S 24bis"
"T23",1,"T 23"
