nom,proposition,motif
  ADEF RESIDENCES ,bailleur,ADEF
  ADOMA ,bailleur,ADOMA
  BATIGERE EN ILE DE FRANCE ,bailleur,BATIGERE
  34 BONDY ,inconnu,
  A G BONDY ,inconnu,
  APAJH BONDY ,association,
  ASS LOCALE POUR LE CULTE DES TEMOINS DE JEHOVAH DE BONDY ,association,
  BATIBONDY ,inconnu,
  BONDY COEUR DE VILLE ,promoteur,
  BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE ,bailleur,BONDY HABITAT
  BONDY HUGO ,inconnu,
  BONDY NORD INVESTISSEMENT ,promoteur,
  CIE DES CHEVALIERS DE L'ARC DE BONDY ,association,
  COMMUNE DE BONDY ,CT,
  COMMUNE DE BONDY BUREAU DE BIENFAISANCE ,CT,
  COMPAGNIE D'ARC DE BONDY  ASSOCIATION SPORTIVE ,association,
  LE SOLEIL DE BONDY ,inconnu,
  NEW BONDY ,inconnu,
  SCCV BONDY BARBUSSE ,association,
  SYNDICAT INTERCOMMUNAL DU CIMETIERE DE BONDY ,CT,
  CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD ,bailleur,CDC
  CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD ,bailleur,CDC
  ASS IMMOBILIERE ASSOMPTION ,association,
  ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT ,Etat,
  IMMOBILIERE 3F ,bailleur,3F
  IMMOBILIERE LA FRANCAISE ,inconnu,
  L'EUROPEENNE DE L'IMMOBILIER ,inconnu,
  LOGEMENT GEST IMMOBILIERE REG PARISIENNE ,inconnu,
  MAJ IMMOBILIER ,inconnu,
  R2A IMMOBILIER ,inconnu,
  SOC ECONOMIE MIXTE IMMOB REGION PARIS ,inconnu,
  SOUSA IMMOBILIAIRE ,inconnu,
  STE D'ETUDES ET DE TRANSAC IMMOB SETIMO ,inconnu,
  TBS IMMOBILIER ,inconnu,
  SOFILOGIS ,bailleur,SOFILOGIS
  DEPARTEMENT DE LA SEINE SAINT DENIS ,CT,
  LIGUE DE SEINE SAINT DENIS DE TENNIS ,association,
  OFFICE PUBLIC HABITAT SEINE SAINT DENIS ,bailleur,OFFICE PUBLIC HABITAT SEINE SAINT DENIS
  STE ECONOMIE MIXTE DU DPT DE LA SEINE ,inconnu,
  SEQENS SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ,bailleur,SEQENS
