nom;date;adresse;ville;cp;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
Ventouse 1;14/10/2024;193 rue Auguste Blanqui;Bondy;93140;48.898185;2.489503;Rue Louis Auguste Blanqui 93140 Bondy;0.7113337028824833;;street;93010_5170;;Rue Louis Auguste Blanqui;Rue Louis Auguste Blanqui;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 2;14/10/2024;Place Edith Piaf;Bondy;93140;48.864729;2.405083;Place Edith Piaf 75020 Paris;0.5584523232323232;0.5567459595959595;street;75120_P215;;Place Edith Piaf;Place Edith Piaf;75020;Paris;75, Paris, Île-de-France;75120;;;Paris 20e Arrondissement;ok
Ventouse 3;14/10/2024;30 allée de l'orme;Bondy;93140;48.8909;2.482145;30 Allée de l'Orme 93140 Bondy;0.9095812121212121;0.5020104422604422;housenumber;93010_6830_00030;30;30 Allée de l'Orme;Allée de l'Orme;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 4;14/10/2024;06 avenue de Metz;Bondy;93140;48.890547;2.478212;6 Avenue de Metz 93140 Bondy;0.8761433855799372;;housenumber;93010_6195_00006;6;6 Avenue de Metz;Avenue de Metz;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 5;14/10/2024;09 rue Marcel Dassault;Bondy;93140;48.888202;2.480646;9 Rue Marcel Dassault 93140 Bondy;0.8912815508021389;;housenumber;93010_6125_00009;9;9 Rue Marcel Dassault;Rue Marcel Dassault;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 6;14/10/2024;07 rue Jules Ferry;Bondy;93140;48.893594;2.475322;7 Avenue Jules Ferry 93140 Bondy;0.7086042857142857;;housenumber;93010_4770_00007;7;7 Avenue Jules Ferry;Avenue Jules Ferry;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 7;14/10/2024;03 villa Madeleine;Bondy;93140;48.895562;2.482846;3 Villa Madeleine 93140 Bondy;0.8762427272727272;;housenumber;93010_6110_00003;3;3 Villa Madeleine;Villa Madeleine;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 8;14/10/2024;76 rue Edouard Vaillant;Bondy;93140;48.895558;2.484586;76 Rue Edouard Vaillant 93140 Bondy;0.9258046753246753;;housenumber;93010_3115_00076;76;76 Rue Edouard Vaillant;Rue Edouard Vaillant;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 9;14/10/2024;13 rue de l'union;Bondy;93140;48.8968;2.485572;13 Rue de l'Union 93140 Bondy;0.9037177115987459;;housenumber;93010_9550_00013;13;13 Rue de l'Union;Rue de l'Union;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 10;14/10/2024;07 bis allée Corneille;Bondy;93140;48.896689;2.494019;7bis Allée Corneille 93140 Bondy;0.8157376623376623;;housenumber;93010_1560_00007_bis;7bis;7bis Allée Corneille;Allée Corneille;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 11;14/10/2024;189-193- rue Auguste Blanqui;Bondy;93140;48.898185;2.489503;Rue Louis Auguste Blanqui 93140 Bondy;0.6541767676767676;;street;93010_5170;;Rue Louis Auguste Blanqui;Rue Louis Auguste Blanqui;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 12;14/10/2024;35 allée de la paix;Bondy;93140;48.895889;2.490822;35 Allée de la Paix 93140 Bondy;0.9112971554252199;;housenumber;93010_7110_00035;35;35 Allée de la Paix;Allée de la Paix;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 13;14/10/2024;16 rue Raoul;Bondy;93140;48.899225;2.492258;16 Rue Raoul 93140 Bondy;0.8938060606060605;;housenumber;93010_8120_00016;16;16 Rue Raoul;Rue Raoul;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 14;14/10/2024;33 rue du professeur Vaillant;Bondy;93140;48.898771;2.491192;33 Rue du Professeur Vaillant 93140 Bondy;0.9230277383592017;;housenumber;93010_7280_00033;33;33 Rue du Professeur Vaillant;Rue du Professeur Vaillant;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 15;14/10/2024;17 rue des droits de l'homme;Bondy;93140;48.900576;2.476059;17 Rue des Droits de l'Homme 93140 Bondy;0.9209590909090909;;housenumber;93010_2580_00017;17;17 Rue des Droits de l'Homme;Rue des Droits de l'Homme;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 16;14/10/2024;26 rue Michelet;Bondy;93140;48.900161;2.472537;26 Rue Michelet 93140 Bondy;0.904954478114478;0.6035523691460054;housenumber;93010_6212_00026;26;26 Rue Michelet;Rue Michelet;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 17;14/10/2024;30 rue Michelet;Bondy;93140;48.900116;2.472811;30 Rue Michelet 93140 Bondy;0.904954478114478;0.6491790909090909;housenumber;93010_6212_00030;30;30 Rue Michelet;Rue Michelet;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 18;14/10/2024;145 rue Baudin;Bondy;93140;48.897851;2.476748;145 Rue Baudin 93140 Bondy;0.9027844755244755;;housenumber;93010_0620_00145;145;145 Rue Baudin;Rue Baudin;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 19;14/10/2024;66 rue du vieux moulin;Bondy;93140;48.896788;2.473809;Rue du Vieux Moulin 93140 Bondy;0.8324474331550801;0.534018658008658;street;93010_9645;;Rue du Vieux Moulin;Rue du Vieux Moulin;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 20;14/10/2024;11 avenue de Verdun;Bondy;93140;48.906112;2.489228;11 Avenue de Verdun 93140 Bondy;0.9082680645161288;;housenumber;93010_9615_00011;11;11 Avenue de Verdun;Avenue de Verdun;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 21;14/10/2024;43 rue des 5 ormes;Bondy;93140;48.902339;2.49339;43 Rue des 5 Ormes 93140 Bondy;0.9082348484848485;;housenumber;93010_1520_00043;43;43 Rue des 5 Ormes;Rue des 5 Ormes;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 22;14/10/2024;39 avenue de Verdun;Bondy;93140;48.903841;2.491857;39 Avenue de Verdun 93140 Bondy;0.9082680645161288;;housenumber;93010_9615_00039;39;39 Avenue de Verdun;Avenue de Verdun;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 23;14/10/2024;4 rue Béranger;Bondy;93140;48.904447;2.494474;4 Rue Béranger 93140 Bondy;0.9004844755244754;;housenumber;93010_0670_00004;4;4 Rue Béranger;Rue Béranger;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 24;14/10/2024;2 rue de préssensé;Bondy;93140;48.902211;2.494084;2 Rue de Pressensé 93140 Bondy;0.9065457575757575;;housenumber;93010_7260_00002;2;2 Rue de Pressensé;Rue de Pressensé;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 25;14/10/2024;52 rue Louis Auguste Blanqui;Bondy;93140;48.899339;2.48303;52 Rue Louis Auguste Blanqui 93140 Bondy;0.9319545454545454;;housenumber;93010_5170_00052;52;52 Rue Louis Auguste Blanqui;Rue Louis Auguste Blanqui;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 26;14/10/2024;52 rue Louis Auguste Blanqui;Bondy;93140;48.899339;2.48303;52 Rue Louis Auguste Blanqui 93140 Bondy;0.9319545454545454;;housenumber;93010_5170_00052;52;52 Rue Louis Auguste Blanqui;Rue Louis Auguste Blanqui;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
Ventouse 27;14/10/2024;17 rue César Delaine;Bondy;93140;48.902535;2.496048;17 Rue César Delaine 93140 Bondy;0.9103336363636362;;housenumber;93010_1450_00017;17;17 Rue César Delaine;Rue César Delaine;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;;ok
