,"num.photo","jour","adresse","type.d.infraction","type.de.place","observation","enlevé..oui.non."
"66","Ventouse 1","14/10/2024","193 rue Auguste Blanqui","gênant","- - - autre","ventouse","non"
"67","Ventouse 10","14/10/2024","07 bis allée Corneille","gênant","- - - autre","ventouse","oui"
"68","Ventouse 11","14/10/2024","189 rue Auguste Blanqui","gênant","- - - autre","ventouse","non"
"69","Ventouse 12","14/10/2024","35 allée de la paix","gênant","- - - autre","ventouse","oui"
"70","Ventouse 13","14/10/2024","16 rue Raoul","gênant","- - - autre","ventouse","non"
"71","Ventouse 14","14/10/2024","33 rue du professeur Vaillant","gênant","- - - autre","ventouse","non"
"72","Ventouse 15","14/10/2024","17 rue des droits de l'homme","gênant","- - - autre","ventouse","non"
"73","Ventouse 16","14/10/2024","26 rue Michelet","gênant","- - - autre","ventouse","non"
"74","Ventouse 17","14/10/2024","30 rue Michelet","gênant","- - - autre","ventouse","non"
"75","Ventouse 18","14/10/2024","145 rue Baudin","gênant","- - - autre","ventouse","non"
"76","Ventouse 19","14/10/2024","66 rue du vieux moulin","gênant","- - - autre","ventouse","non"
"77","Ventouse 2","14/10/2024","Place Edith Piaf","gênant","- - - autre","ventouse","non"
"78","Ventouse 20","14/10/2024","11 avenue de Verdun","gênant","- - - autre","ventouse","oui"
"79","Ventouse 21","14/10/2024","43 rue des 5 ormes","gênant","- - - autre","ventouse","non"
"80","Ventouse 22","14/10/2024","39 avenue de Verdun","gênant","- - - autre","ventouse","oui"
"81","Ventouse 23","14/10/2024","4 rue Béranger","gênant","- - - autre","ventouse","oui"
"82","Ventouse 24","14/10/2024","2 rue de préssensé","gênant","- - - autre","ventouse","oui"
"83","Ventouse 25","14/10/2024","52 rue Louis Auguste Blanqui","gênant","- - - autre","ventouse","non"
"84","Ventouse 26","14/10/2024","52 rue Louis Auguste Blanqui","gênant","- - - autre","ventouse","non"
"85","Ventouse 27","14/10/2024","17 rue César Delaine","gênant","- - - autre","ventouse","oui"
"86","Ventouse 3","14/10/2024","30 allée de l'orme","gênant","- - - autre","ventouse","non"
"87","Ventouse 4","14/10/2024","06 avenue de Metz","gênant","- - - autre","ventouse","non"
"88","Ventouse 5","14/10/2024","09 rue Marcel Dassault","gênant","- - - autre","ventouse","non"
"89","Ventouse 6","14/10/2024","07 rue Jules Ferry","gênant","- - - autre","ventouse","oui"
"90","Ventouse 7","14/10/2024","03 villa Madeleine","gênant","- - - autre","ventouse","oui"
"91","Ventouse 8","14/10/2024","76 rue Edouard Vaillant","gênant","- - - autre","ventouse","oui"
"92","Ventouse 9","14/10/2024","13 rue de l'union","gênant","- - - autre","ventouse","oui"
"93","Ventouse 28","12/12/2024","Rue René Char","gênant","- - - autre","ventouse","non"
"94","Ventouse 29","12/12/2024","Rue René Char","gênant","- - - autre","ventouse","non"
