"Var1","Freq"
"000",1
"A",112
"AA",37
"AB",110
"AC",210
"AD",135
"AE",344
"AF",132
"AG",236
"AH",147
"AI",105
"B",132
"C",285
"D",297
"E",145
"F",132
"G",94
"H",107
"I",211
"J",170
"Jardin",1
"K",97
"l",1
"L",92
"L.68",1
"L91",1
"M",180
"N",106
"O",118
"Ossuaire",1
"P",193
"P91",1
"P94",1
"P95",1
"Q",252
"Q201",1
"Q206",1
"Q213",1
"Q217",1
"Q218",1
"Q221",1
"Q228",1
"Q231",1
"Q232",1
"Q233",1
"Q235",1
"Q238",1
"Q240",1
"Q241",1
"Q242",1
"Q244",1
"Q245",1
"Q246",1
"Q247",1
"Q249",1
"Q252",1
"Q256",1
"Q259",1
"R",162
"S",96
"T",221
"T23",1
"T25",1
"T26",1
"U",51
"V",50
