"","x"
"1","Jardin partagé de Léon Blum"
"2","Anatole France"
"3","Square Dian Fossey"
"4","Place Carnot"
"5","Square de la liberté"
"6","city stade Djamel Kelfaoui"
"7","Eglise Saint-Pierre"
"8","Place des marronniers"
"9","ancien TUB"
"10","Place Edith Piaf"
"11","Promenade Georges Sand"
"12","Rue Lucien Chapelain"
"13","Cecifoot Salengro"
"14","Ferme Caillard Dilly"
"15","Square Anne Franck"
"16","Terrain de sport Terre Saint Blaise"
"17","Jardins du Bonheur"
"18","Square Maurice Benhamou"
"19","City stade Jules Guesde"
"20","Square du Breuil"
"21","Square de Versailles"
"22","Ferme Caillard"
"23","Etablissement d'enseignement spécialisé"
"24","Jardin de la rue Pauline Roger"
"25","Extension du square Maurice Benhamou"
"26","Square R. Kipling"
"27","Rue de la Fraternité"
"28","City stade Pierre Curie"
"29","Square Alcacer Do Sal"
"30","Square Avenue Pasteur"
"31","Square Victor Hugo"
"32","Place Nicole Neuburger"
"33","City stade Mbappé"
"34","Pont de Bondy"
"35","Place du 11 Novembre"
"36","Avenue Pasteur"
"37","Square du 8 mai 1945"
"38","Terrain But en Or"
"39","Square du 19 mars 1962"
"40","Square Jean Lebas"
"41","Gare RER de Bondy"
"42","Copropriétés Dolet"
"43","Square Robert Grammont"
"44","Le Carré"
"45","Square Boris Bernstein"
"46","Résidence La Bruyère"
"47","Mairie de Bondy"
"48","Aide sociale à l'enfance"
"49","Carnot"
"50","Square François Mitterrand"
"51","Allée des Orchidées"
"52","Chemin de la Mare prolongé"
"53","Rive sud du Canal"
"54","Paul Eluard"
"55","Bassin de rétention"
"56","Les Primevères"
"57","Cimetière intercommunal de Bondy"
"58","Jardin Terre Saint-Blaise"
"59","Verdun-Neuburger"
"60","voie Tram-Train"
"61","Stade et Piscine Robert Gazzi"
"62","Jardins de la Noue"
"63","ZAC Rives de l'Ourcq"
"64","Campus IRD"
"65","Parc de la Mare à la Veuve Honorine de Beauvais"
"66","Place Georges Lyssandre"
"67","Elargissement des berges du canal de l'Ourcq"
"68","n.c."
"69","Stade Léo Lagrange"
"70","Bois de Bondy"
